rule,support
VCG LOS告警 增强型远端连接缺陷指示 增强型远端服务缺陷指示（ERDI-S）,0.0012333762333762333
VCG LOS告警 指针丢失(LP-LOP) 增强型远端服务缺陷指示（ERDI-S）,0.006113256113256113
VCG LOS告警 增强型远端服务缺陷指示（ERDI-S） 误码率越限(LP-EXC),0.006113256113256113
VCG LOS告警 指针丢失(LP-LOP) 增强型远端连接缺陷指示,0.0012333762333762333
VCG LOS告警 增强型远端连接缺陷指示 误码率越限(LP-EXC),0.0012333762333762333
VCG LOS告警 指针丢失(LP-LOP) 误码率越限(LP-EXC),0.006113256113256113
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 VCG端口源端丢失全部容量,0.001287001287001287
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量,0.0013406263406263406
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 不可用秒开始(UAS),0.0016623766623766623
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 告警指示信号(LP-AIS),0.0010725010725010724
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 增强型远端服务缺陷指示（ERDI-S）,0.0016623766623766623
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 指针丢失(LP-LOP),0.0016623766623766623
VCG端口宿端丢失部分容量 VCG端口宿端丢失全部容量 误码率越限(LP-EXC),0.0016623766623766623
VCG端口宿端丢失全部容量 VCG端口源端丢失部分容量 VCG端口源端丢失全部容量,0.003861003861003861
VCG端口宿端丢失全部容量 不可用秒开始(UAS) VCG端口源端丢失全部容量,0.00487987987987988
VCG端口宿端丢失全部容量 告警指示信号(LP-AIS) VCG端口源端丢失全部容量,0.0023058773058773057
VCG端口宿端丢失全部容量 增强型远端服务缺陷指示（ERDI-S） VCG端口源端丢失全部容量,0.00487987987987988
VCG端口宿端丢失全部容量 指针丢失(LP-LOP) VCG端口源端丢失全部容量,0.00487987987987988
